(100, 100, 110)
(140, 140, 140)
(180, 180, 180)
(220, 220, 220)
(260, 260, 260)
(300, 300, 300)
(340, 340, 340)
(380, 380, 380)
(420, 420, 420)
(460, 460, 460)
(500, 500, 500)
(540, 540, 540)
(580, 580, 580)
(620, 620, 620)
(660, 660, 660)
(700, 700, 700)
(740, 740, 740)
(780, 780, 780)
(820, 820, 820)
(860, 860, 860)
(900, 900, 900)
(940, 940, 940)
(910, 900, 890)
(860, 850, 890)
(810, 800, 890)
(760, 750, 890)
(710, 700, 890)
(660, 650, 890)
(610, 600, 890)
(560, 550, 890)
(510, 500, 890)
(460, 450, 890)
(410, 400, 890)
(360, 350, 890)
(310, 300, 890)
(260, 250, 890)
(210, 200, 890)
(160, 150, 890)
(110, 100, 890)
(900, 100, 100)
(900, 150, 150)
(900, 200, 200)
(900, 250, 250)
(900, 300, 300)
(900, 350, 350)
(900, 400, 400)
(900, 450, 450)
(900, 500, 500)
(900, 550, 550)
(900, 600, 600)
